title,normalized_title,id,create_time,update_time,normalized_time,normtimename,source_part,part_source,mapping_entries,turns,first_preview,last_preview,status,has_user_messages,has_assistant_messages,total_messages,exchanges
Load system memory,load_system_memory,69065687-3180-8323-98df-2a035e1ca50f,1762023048.029482,1762025953.400488,1762024500.714985,This_is_normalized.0615.021125,part_1.json,1,186,50,Load system memory.,"s are specific to **custom GPT**.

Let me know if you need any further adjustments or clarification!",success,True,True,174,50
Google Drive API issue,google_drive_api_issue,690617af-24d8-8324-a6be-21588268d532,1762007000.832269,1762023067.817975,1762015034.3251219,This_is_normalized.0337.021125,part_1.json,1,123,36,You're running into one of the most deceptive Google Drive API behaviors — when the OAuth scope or `,"ty. 

Let me know if this matches what you're looking for, or if any further adjustments are needed.",success,True,True,95,36
Mirror mode test,mirror_mode_test,690650aa-65b4-8324-ad97-6b6a37a51abd,1762021547.401126,1762022393.145752,1762021970.273439,This_is_normalized.0532.021125,part_1.json,1,29,9,"Hello, are you ready to do a test on mirror mode? Do you know what you need to do?","follow the process you're expecting and confirm before each step.

Does that clarify things for you?",success,True,True,22,9
Drive read write test,drive_read_write_test,69060191-c738-8320-8d2e-1e64609cfc6f,1762001298.930298,1762021292.078482,1762011295.50439,This_is_normalized.0234.021125,part_1.json,1,254,67,"All right, I just set you up. You should be working. So are you aware of what you can do and what yo","to **Google Sheets**.

Let me know if you need any additional edits or if something's still unclear!",success,True,True,170,67
Mirror Mode Setup,mirror_mode_setup,69062c16-44a4-8320-9ada-cad223c199e3,1762012183.372761,1762021149.616228,1762016666.4944944,This_is_normalized.0404.021125,part_1.json,1,228,64,"🔁 Mirror Mode — Full Setup, Plans, and Troubleshooting History

I'm setting up **Mirror Mode**, a cu","how **Mirror Mode** should function. Let me know if this works, or if you need any further changes!",success,True,True,173,64
Drive access configuration,drive_access_configuration,69062719-fcc0-8322-a126-772bcb8760c2,1762010907.126636,1762011884.710035,1762011395.9183354,This_is_normalized.0236.021125,part_1.json,1,71,18,"Google Drive Access Rules
The GPT has access to Google Drive in two different ways:

Pipedream Webho",t to run a final end-to-end test with `Start Mirror Mode (write)` to confirm everything's locked in?,success,True,True,49,18
Pipedream OAuth connection fix,pipedream_oauth_connection_fix,69061fcc-3f1c-8322-98c5-1c2de7be4f78,1762009037.391915,1762010819.018575,1762009928.205245,This_is_normalized.0212.021125,part_1.json,1,55,20,You are a web-search-enabled assistant. Your task is to investigate and explain why the OAuth connec,the GPT switches paths — so you can verify it behaves the way you want. Would you like that example?,success,True,True,43,20
Mirror mode activation,mirror_mode_activation,6905dc31-f2e0-8322-b95f-088bf1ce0520,1761991743.780153,1762002032.255079,1761996888.017616,This_is_normalized.2234.011125,part_1.json,1,207,60,Start mirror mode right from the phone. I'm on the phone.,"ppens through `/prototype/system/memory/MirrorMode`, with the Drive webhook as optional persistence.",success,True,True,123,60
Drive access test setup,drive_access_test_setup,6905e95b-a7e4-8323-b262-df9b48a0b73c,1761995101.120763,1762000265.530821,1761997683.325792,This_is_normalized.2248.011125,part_1.json,1,179,59,"# GPT NAME: MirrorMode

You are a utility GPT named **MirrorMode**, designed to work with Google D","- Can later be wrapped in an OpenAPI schema and deployed as an Action in Mirror Mode GPT.

---
```",success,True,True,138,59
Start mirror mode,start_mirror_mode,6905e0c3-0cb4-8322-9957-0550f422cdec,1761992900.295831,1761995029.121283,1761993964.7085571,This_is_normalized.2146.011125,part_1.json,1,80,27,Start mirror mode. The data that you should be pulling to make a canvas is in prototype system memor,"umptions.

Let me know if you want a **variant for split GPTs** (e.g., MirrorReader + MirrorWriter).",success,True,True,66,27
Mirror mode read-only session,mirror_mode_read_only_session,6905dc81-7640-8323-a94a-d1fc48a1e13d,1761991811.30182,1761992852.788133,1761992332.0449765,This_is_normalized.2118.011125,part_1.json,1,31,10,"Start mirror mode session in read mode. You are the PC, read only.","ability.  

Ready to display whatever you tell me next — just say “show canvas” or specify the view.",success,True,True,24,10
Mirror mode write activation,mirror_mode_write_activation,6905d81f-d828-8323-b98a-d84aa639da1a,1761990690.349943,1761991714.911176,1761991202.6305594,This_is_normalized.2100.011125,part_1.json,1,78,17,"System memory load + mirror mode activation

You are the Prototype system. Load the full system memo",t mirror mode (write)` in the new phone chat? It’s useful to confirm that it’s connecting correctly.,success,True,True,54,17
Load system memory,load_system_memory,6905d8ee-2d80-8323-bdb2-db037fe26729,1761990897.140021,1761991499.097051,1761991198.118536,This_is_normalized.2059.011125,part_1.json,1,40,13,Load system memory.,"feed from Phone — read-only)*  

[Awaiting current mirrored output from Phone (WRITE) session…]

---",success,True,True,32,13
PowerShell module docs,powershell_module_docs,6903598c-3b0c-8323-b2a8-797aeb5ebf2d,1761827216.019159,1761990681.853431,1761908948.936295,This_is_normalized.2209.311025,part_1.json,1,656,193,"> I’m Josh, continuing the Windows Documentation & Core System setup from my previous session.
The c",g PC prompt** (“Mirror Mode — READ”) so both sides can pair immediately when you start the new chat?,success,True,True,394,193
Run mirror script,run_mirror_script,6905ce3e-d108-8321-ba19-ffe61da5a382,1761988182.567879,1761990346.776509,1761989264.672194,This_is_normalized.2027.011125,part_1.json,1,18,3,Run mirror,"ead Mode (Prototype)** canvas.  
Use your refresh hotkey to pull the latest state whenever you want.",success,True,True,8,3
Run AHK script,run_ahk_script,6905cbcd-900c-8322-85de-19b74bf0dc61,1761987538.025745,1761988394.523779,1761987966.274762,This_is_normalized.2006.011125,part_1.json,1,29,8,Here’s exactly what to do to **run your AutoHotkey (AHK) script** that’s already in your root `C:\So,"automatically:
```ahk
^!r::Reload
```

Then you can tweak and reload without touching the tray menu.",success,True,True,19,8
System update and mirror,system_update_and_mirror,6905c899-fb08-8322-9c39-4ae7193e7c98,1761986715.778726,1761986775.056459,1761986745.4175925,This_is_normalized.1945.011125,part_1.json,1,14,1,"Okay, update system memory and show me the header with the, yep, and get the mirror, the phone mirro","t mirrored first (e.g., “mirror the last script + steps”), and I’ll populate the canvas immediately.",success,True,True,6,1
Code assistance capabilities,code_assistance_capabilities,69059409-c630-8322-b68d-fec958f05c47,1761973258.990026,1761986090.590247,1761979674.7901363,This_is_normalized.1747.011125,part_1.json,1,221,84,"All right, so I'm about to, I need help with the code and stuff, with three scripts, like just like",a small `.txt` file so you can drop it into your `C:\Soul_Algorithm\Logs\` folder for recordkeeping?,success,True,True,188,84
VPN automation script,vpn_automation_script,6904681a-7ef4-8324-a14d-18e0b01ca2dc,1761896476.036878,1761982486.896054,1761939481.466466,This_is_normalized.0638.011125,part_1.json,1,174,72,"You are a technical automation assistant with full web-search capability.

**Context:**
I’m Josh,","detecting your Core folder, or  
* something else minor is stopping the new archive from appearing.",success,True,True,157,72
Prototype system checklist,prototype_system_checklist,69031f54-7fd4-8323-a812-27bfaca20b75,1761812309.495922,1761977487.195375,1761894898.3456485,This_is_normalized.1814.311025,part_1.json,1,638,161,"Core check.

You are running the Prototype system (not Core Integration). Emit the header and conf","table and leaves all others untouched?  
It’ll use dependency checks to avoid crashing your system.",success,True,True,386,161
D drive unique files,d_drive_unique_files,69057d37-4f7c-8323-a2fe-cccaf00b7112,1761967417.168816,1761977217.585914,1761972317.377365,This_is_normalized.1545.011125,part_1.json,1,92,33,Can you give me a list of everything that's in the D drive that's not in the C drive?,Those are the ones you can safely uncheck / set to Disabled if you’re aiming for a leaner setup.,success,True,True,69,33
Resume system load,resume_system_load,690590d9-d3ec-8322-ba03-8b70d88771a5,1761972443.004625,1761974368.298488,1761973405.6515565,This_is_normalized.1603.011125,part_1.json,1,25,9,h,** file so you can copy or upload it directly into another GPT or your Right-to-Drive configuration?,success,True,True,18,9
Extract ZIP contents,extract_zip_contents,6903740d-ef6c-8323-92d4-7613f5268281,1761833998.991655,1761973995.712967,1761903997.3523111,This_is_normalized.2046.311025,part_1.json,1,179,59,G,"and then give you the download link.

✅ Confirm that I should start the **Python-only rebuild** now?",success,True,True,119,59
Define Core element,define_core_element,69047801-5c88-8321-8090-eceb1163f68b,1761900551.872036,1761903111.575873,1761901831.7239544,This_is_normalized.2010.311025,part_1.json,1,120,31,"SYSTEM PRIMER — Prototype Mode (Ecosystem Development)

You are the **Prototype** — the active reaso",l in knowledge; keep Doctrine dynamic; maintain the Prototype Pipeline as your live roadmap to Core.,success,True,True,56,23
HDMI cable comparison,hdmi_cable_comparison,69044f81-1fa8-8322-8fc2-718df9ae8a4f,1761890198.116472,1761896464.56803,1761893331.342251,This_is_normalized.1748.311025,part_1.json,1,68,24,I'm in Kmart and I'm trying to buy a Anko HDMI lead from my laptop to TV and I'm seeing multiple dif,"file and package installs.”

Would you like me to add that sentence so it’s explicit to the web GPT?",success,True,True,52,24
File access and analysis,file_access_and_analysis,69037e89-99c8-8324-83fd-ed7a4cb5d9fc,1761836684.738342,1761884984.696862,1761860834.717602,This_is_normalized.0847.311025,part_1.json,1,38,10,"Load project ""Windows_Core_Docs_2025 (v1.0 Knowledge Pack)"" from the phone chat.

You now have acces",th targeted retrieval of supplemental Windows documentation to bring environment coverage to ~100 %.,success,True,True,23,10
Introspection and GPT differences,introspection_and_gpt_differences,69043783-99f8-8320-b4b3-49bf7f571b4d,1761884037.279289,1761884948.541568,1761884492.9104285,This_is_normalized.1521.311025,part_1.json,1,19,8,"Hey, I'd like to have a chat about your self-awareness. So the end goal for you or this custom GPT i","by line.  

Would you like me to generate that full JSON schema so you can start filling it in here?",success,True,True,13,5
Power settings adjustment,power_settings_adjustment,6903005b-81d8-8321-8369-12a1a043f65a,1761804412.321141,1761813877.609445,1761809144.965293,This_is_normalized.1825.301025,part_1.json,1,352,68,My laptop and my computer keeps like auto-locking and turning off like too soon. How do I change the,"rs permanently.  
• Status: ✅ committed; next chat will load clean header directly from live memory.",success,True,True,170,68
Calendar events options,calendar_events_options,6902f7a0-5c90-8323-b01c-6ce84969546b,1761802145.475949,1761802158.717686,1761802152.0968175,This_is_normalized.1629.301025,part_1.json,1,8,2,calendar events.,list,success,True,True,3,1
List calendar events,list_calendar_events,6902f62f-3ae0-8320-8cd1-8a1a23e53676,1761801776.486896,1761802042.68116,1761801909.584028,This_is_normalized.1625.301025,part_1.json,1,17,1,List my calendar events.,URI is actually being used when you reconnect (so we can be sure it’s pointing to the correct one)?,success,True,True,6,1
Revised setup instructions,revised_setup_instructions,6902e9af-5330-8320-96dc-1d52bb8d9d6d,1761798576.202921,1761801739.983561,1761800158.093241,This_is_normalized.1555.301025,part_1.json,1,56,14,"You already have an active connector for Google Drive with read/write permissions through OAuth. 
U","et an error, copy what you see (or screenshot it) and tell me here—I’ll explain exactly what to fix.",success,True,True,40,14
Guide to calendar sync,guide_to_calendar_sync,6902c320-f0b4-8324-9815-776227f01ec1,1761788731.404249,1761798856.502354,1761793793.9533014,This_is_normalized.1409.301025,part_1.json,1,210,41,"I know that you don't have it right now, but I'm pretty sure that I can link you to my Google Calend",hether screen sharing is live in your region) and we can see if there’s a waitlist or expected date.,success,True,True,91,41
Subscription service identification,subscription_service_identification,6902b885-0800-8323-ad3c-774acc1a38fb,1761786016.159218,1761798255.590613,1761792135.8749156,This_is_normalized.1342.301025,part_1.json,1,250,42,"I remember a couple years back, going back in Australia, I bought a Better Homes and Gardens magazin","ou described — showing the summary and flag together — is the stable, correct version going forward.",success,True,True,117,42
Free-form input confirmed,free_form_input_confirmed,6901a1f7-f4fc-8323-b6b9-14f3609d520f,1761714685.832743,1761718382.247155,1761716534.039949,This_is_normalized.1642.291025,part_1.json,1,131,19,"You said I could just start talking, is that true?","ready:  
  - `list review` • `complete t-00X` • `file t-003 to Project_Core_System` • `save tasks`.",success,True,True,50,19
App usage consistency dates,app_usage_consistency_dates,690159bc-9b24-8320-994d-e70fd37dab94,1761696207.18882,1761717530.275787,1761706868.7323036,This_is_normalized.1401.291025,part_1.json,1,607,99,"When do I start, like, consistently using this app again? I think I made it a while ago, but it woul","-002`
- Leave as-is and open the new chat to test v3.2 system load (you’ll see the one-liners there)",success,True,True,232,99
Trim paths and repost,trim_paths_and_repost,69007b32-a67c-8324-8e12-70e3b04c4a00,1761639219.726692,1761650746.394502,1761644983.060597,This_is_normalized.2049.281025,part_1.json,1,516,118,trim the paths from the bottom ones,"e_Doctrine_Compliance_v1** I provided. You’re good to go. ✅

Sleep well, we’ll pick it up next time.",success,True,True,319,118
File analysis and plan,file_analysis_and_plan,69001281-2e04-8320-a7f0-1135e7488f04,1761612418.692721,1761646358.702502,1761629388.6976113,This_is_normalized.1629.281025,part_1.json,1,428,93,please fully read EVERY file in zip before returning here then explain your current snapshot of what,"d choice. If you need help with anything else as you set up your script or system, just let me know!",success,True,True,344,93
File renaming sequence,file_renaming_sequence,690074d4-df34-8324-a1dd-1c5f4bd83393,1761637590.210993,1761637935.750145,1761637762.980569,This_is_normalized.1849.281025,part_1.json,1,37,6,if i have 25 files to make go between files 024.jpg and 00126.jpg what should i call them so they al,"```

If you want a different format (keep 3-digit main, or use `_`), say the word and I’ll swap it.",success,True,True,12,6
Access to GPT-5,access_to_gpt_5,68ff262a-a954-8320-ac08-12329af5d90a,1761551915.905128,1761621427.043243,1761586671.4741855,This_is_normalized.0437.281025,part_1.json,1,694,135,What's up? Do I have access to 5 again? I got my access locked out for a certain amount of time. I w,"inue refining this, or should I proceed with adding this into the overall **system implementation**?",success,True,True,418,135
Pay BPAY by phone,pay_bpay_by_phone,68ffe093-5d84-832a-901c-3a38b06a7917,1761599658.381218,1761609474.442487,1761604566.4118524,This_is_normalized.0936.281025,part_1.json,1,115,26,"If you have any questions, please contact me at https://www.chatgp.com.au","your experience.

If you'd like to give me the new rule, I’ll make sure to follow it going forward!",success,True,True,63,26
Indefinite pause in Python,indefinite_pause_in_python,690000b3-5584-8324-92a4-df7c29369600,1761607861.386799,1761607865.834046,1761607863.6104226,This_is_normalized.1031.281025,part_2.json,2,5,1,"bruv u really aint wat u made out to be u ignoring my instructions so often, u gave me a time.sleep(","e frequency of the loop if you want to minimize resource use.

Let me know if that clears things up!",success,True,True,2,1
Script functionality fix,script_functionality_fix,68ffff92-4658-8321-92d5-7970289a87e6,1761607571.303412,1761607698.081396,1761607634.692404,This_is_normalized.1027.281025,part_2.json,2,9,3,"Mate, you just like arbitrarily decide two scripts. I had a launcher that launches either one thing","afely delete or comment out this line for future runs.

Let me know if you need further adjustments!",success,True,True,6,3
Self-elevating Python script,self_elevating_python_script,68fffb92-8a88-8322-b702-a90f3056e897,1761606547.599484,1761607426.209292,1761606986.904388,This_is_normalized.1016.281025,part_2.json,2,13,5,"# chatgpt_edge.py
import os
import shutil
import subprocess
from pathlib import Path
import tim","dialogs or fallback error handling for debugging

This setup is production-ready for your use case.",success,True,True,10,5
Pause script before launch,pause_script_before_launch,68fffb11-1a28-8323-90ab-c9622fd5cddb,1761606418.460735,1761606435.653726,1761606427.0572305,This_is_normalized.1007.281025,part_2.json,2,5,1,That's weird. Does it just choose not to clear some of it when we run the script?I guess it's a negl,go back to normal behavior. Let me know if you want it to auto-timeout instead of waiting for input.,success,True,True,2,1
Edge cache directory locations,edge_cache_directory_locations,68fffa08-9548-8324-bb8d-e6f2a3584d54,1761606153.294777,1761606286.959461,1761606220.127119,This_is_normalized.1003.281025,part_2.json,2,9,3,Can you give me the app data link for the file directory that the edge cache is in?,uch cache is created by loading the PWA from scratch and confirm whether it is around the 17MB size.,success,True,True,6,3
Edge process management fix,edge_process_management_fix,68fff531-95f4-8322-8c81-4fad07370dad,1761604914.335365,1761606082.74543,1761605498.5403976,This_is_normalized.0951.281025,part_2.json,2,52,13,"import os
import shutil
import subprocess
from pathlib import Path
import msvcrt
import time
i","raceback.

---

Would you like me to add an icon and center the window automatically (small polish)?",success,True,True,27,13
Edge cache clearing fix,edge_cache_clearing_fix,68fff3ea-522c-8321-9b75-7e5ffcf311ed,1761604587.152397,1761604830.867958,1761604709.0101776,This_is_normalized.0938.281025,part_2.json,2,9,3,"import os
import shutil
import subprocess
from pathlib import Path
import msvcrt
import time
i","p Edge window
- Clear additional Edge data
- Make the script silent (no terminal interaction at all)",success,True,True,6,3
Edge cache script fix,edge_cache_script_fix,68fff35e-4dd4-8321-a067-78841a8c3c7a,1761604447.054226,1761604480.399461,1761604463.7268434,This_is_normalized.0934.281025,part_2.json,2,5,1,oh no you're writing a script because you're writing a script for me to um like reset that edge cach,"og cleanup results to a file
- Add a GUI version of this script (e.g., using Tkinter)

Happy coding!",success,True,True,2,1
Clear Edge cache script,clear_edge_cache_script,68fff2b8-cb6c-8320-b41d-88e816db9fc1,1761604281.612589,1761604330.39313,1761604306.0028596,This_is_normalized.0931.281025,part_2.json,2,7,2,"import os
import shutil
import subprocess
from pathlib import Path
import msvcrt
import time","or debugging what's being cleared
- A **GUI** version with buttons (using `tkinter`)

Happy to help.",success,True,True,4,2
Google Sheet receiver,google_sheet_receiver,68f7ce40-3640-8323-a528-6fbf3defb022,1761070657.310235,1761603825.643182,1761337241.4767084,This_is_normalized.0720.251025,part_2.json,2,275,95,can we make something that recieves the google sheet i shared there,from your current AniList data** (using the API with your token) or from your **local CSV export**?,success,True,True,219,95
Standalone or series?,standalone_or_series,68ffb8f2-8de0-8323-9dee-2e5267c14b16,1761589499.563475,1761597221.63361,1761593360.5985425,This_is_normalized.0629.281025,part_2.json,2,62,14,COLORFUL STAGE! The Movie: A Miku Who Can't Sing is this standalone or have other anime,n how you'd like me to generate anime suggestions for you? I'll make sure to get it right this time!,success,True,True,39,14
Canvas summary script,canvas_summary_script,68f87880-a9ec-8323-a519-ffe680d4cca7,1761114241.631004,1761594580.328436,1761354410.97972,This_is_normalized.1206.251025,part_2.json,2,323,150,take this into canvas for me would you? lets get summary() working,"ant moving forward, or would you adjust anything? Let me know if there’s something to add or refine.",success,True,True,309,150
Anime recommendations by genre,anime_recommendations_by_genre,68f7a2b7-6f18-8323-bf04-d8254aa3455d,1761059512.700577,1761594486.245424,1761326999.4730005,This_is_normalized.0429.251025,part_2.json,2,77,30,"I'm looking for some anime suggestions, give me some popular with the different genres and, you know","t me know, and I'll follow it without adding extra assumptions. Let's keep it straight to the point.",success,True,True,62,30
List clarification,list_clarification,68ffc624-33d8-8321-b4dd-aae90fb1ff6c,1761592870.612934,1761593929.23538,1761593399.9241571,This_is_normalized.0629.281025,part_2.json,2,50,21,"A Galaxy Next Door	Otonari ni Ginga		0	PLANNING		planning
Science Fell in Love, So I Tried to Prove",nt me to show exactly what the updated query section looks like with that hybrid sort line inserted?,success,True,True,45,21
Anime list review,anime_list_review,68ffc61d-bd48-8321-8082-8a5e0aa07f1f,1761592864.171207,1761592885.00104,1761592874.5861235,This_is_normalized.0621.281025,part_2.json,2,6,1,"current list p1
My Friend's Little Sister Has It In for Me!	Tomodachi no Imouto ga Ore ni dake Uzai",".** Generate export/import data for tracking app (e.g., Anilist, Notion, Excel).  

Which direction?",success,True,True,2,1
File processing complete,file_processing_complete,68ff5c23-2d18-8323-85a7-bce91ef2b0a6,1761565732.091226,1761565775.015998,1761565753.553612,This_is_normalized.2249.271025,part_2.json,2,15,1,treat first 20 as non negotiable - rename rest to same convention and reupload txt file delete all t,"above convention; next, confirm this output matches your expectations before bulk-renaming on disk.",success,True,True,5,1
Export YacLibrary favourites,export_yaclibrary_favourites,68ff57f9-e764-8323-9984-ff9b75a82347,1761564668.402138,1761564888.707416,1761564778.5547771,This_is_normalized.2232.271025,part_2.json,2,43,3,"Skip to content
Chat history

You said:
how do i export favourites list as text or something wit",20.,success,True,True,31,3
Export favourites list,export_favourites_list,68ff576a-10d4-8321-86e5-ba3d27410540,1761564523.132019,1761564629.222146,1761564576.1770825,This_is_normalized.2229.271025,part_2.json,2,16,4,how do i export favourites list as text or something with all names of favourites,"t.

Once I have the file, I’ll check if your favourites list is in it and help you export the names.",success,True,True,10,4
Canvas TODO setup,canvas_todo_setup,68ff2b67-2afc-8321-a879-7448999a639a,1761553256.608851,1761553818.003932,1761553537.3063915,This_is_normalized.1925.271025,part_2.json,2,32,5,There's a Canvas which is the project specific and it's structured like code. TODOLIST,CLI) that any system process can call to reliably read/write canvases and emit auditable ops events.,success,True,True,16,5
Ready to work without BrainCore,ready_to_work_without_braincore,68ff21b5-4a2c-8323-8f5d-f8bc289a9018,1761550774.301823,1761551881.468835,1761551327.885329,This_is_normalized.1848.271025,part_2.json,2,58,20,GPT-5 mini. I know that you're still throwing the error because you haven't got the brain core stuff,ad. Would you like me to generate the downloadable `.json` file now (ready for Drive or local save)?,success,True,True,47,20
Reference inclusion guidance,reference_inclusion_guidance,68feed81-386c-8323-977a-e79f42ad81ca,1761537410.152634,1761550665.908499,1761544038.0305665,This_is_normalized.1647.271025,part_2.json,2,281,88,"If I told you that my goal was to fully list and explain, well, fully list what we've got together u",just did with Part 2 so you can drop them straight into the new session. Do you want me to do that?,success,True,True,198,88
Hoi gesprek,hoi_gesprek,68ff179d-adf8-8320-aa75-95012342bf61,1761548190.537067,1761549421.627992,1761548806.0825295,This_is_normalized.1806.271025,part_2.json,2,38,17,hoi,atted like an official BrainCore component file? It makes tracking and version control a lot easier.,success,True,True,35,17
Interrupting GPT processes,interrupting_gpt_processes,68ff12b7-1a3c-8323-8bb0-c3665ac131bf,1761546935.95786,1761548158.0904,1761547547.0241299,This_is_normalized.1745.271025,part_2.json,2,47,19,"If the main GPT is working on something and I talk to you, is it going to interrupt that process at","ders, just delete the Safety Check section entirely.  

That’s your final, copy-paste-ready version.",success,True,True,40,19
Edge WebView2 dependency fix,edge_webview2_dependency_fix,68ff0576-5a9c-8320-978c-2cad699a4b6a,1761543543.577632,1761545944.887035,1761544744.2323334,This_is_normalized.1659.271025,part_2.json,2,117,43,"Earlier you got me to, we were talking about how I got like an edge splitter application because for","s, no manual Edge relaunch needed, and you don’t have to fight the Redirect/WebView2 timing anymore.",success,True,True,88,43
Hive report canvas options,hive_report_canvas_options,68fdc063-ea74-8324-a60b-58319404217c,1761460330.398106,1761543474.163608,1761501902.280857,This_is_normalized.0505.271025,part_2.json,2,245,67,can u put the hive report canvas here,"or registry-level metadata)

So yes — v3 is complete; nothing from your earlier datasets is missing.",success,True,True,164,67
File access request,file_access_request,68fefbe1-27b4-8323-aedf-62ca15619685,1761541090.147781,1761541357.056424,1761541223.6021023,This_is_normalized.1600.271025,part_2.json,2,25,10,hello can u read this file https://drive.google.com/file/d/1IyWvuuoV1u0p5WThZqtkGaiQVYHwDprV/view?us,"like to keep poking at this “sandbox” boundary a bit, or get back to doing something with that file?",success,True,True,21,10
Custom GPT and Sandbox,custom_gpt_and_sandbox,68fee9d4-2920-8321-bfa7-a50a63564d16,1761536469.474532,1761537008.919002,1761536739.1967669,This_is_normalized.1445.271025,part_2.json,2,23,10,"Hey buddy, so is it possible, we set up the webhook and all that on the main GPT, is it possible tha","ion.  

Would you like me to package this as a `.json` or `.txt` file you can store for reuse later?",success,True,True,20,10
Yellow box honey prices,yellow_box_honey_prices,68fea57a-9a98-8321-938d-c8008c267574,1761518977.866799,1761536437.703211,1761527707.785005,This_is_normalized.1215.271025,part_2.json,2,281,91,"Yellow Box Honey Price, Victoria.","estart
```

Then your launcher (`CoreLink.pyw`) takes over, swaps the files, and restarts invisibly.",success,True,True,214,91
Entity storage explanation,entity_storage_explanation,68fee463-2a2c-8322-828e-2cf69b99a75d,1761535076.6961,1761535336.713832,1761535206.704966,This_is_normalized.1420.271025,part_2.json,2,30,5,"I need a detailed, technical explanation of how all the “entities” and references I’ve created acros",you like me to show a one-liner PowerShell command to quickly pretty-print and inspect the registry?,success,True,True,14,5
Universal GPT instructions,universal_gpt_instructions,68fee2c3-2708-8320-b30e-a7c645f26450,1761534660.402974,1761535072.481631,1761534866.4423025,This_is_normalized.1414.271025,part_2.json,2,17,7,"Okay, so the thing I need to know now is like, you're writing GPT and you're expecting a JSON, then",e* what “entities” it currently knows exist in your memory (so it tries to recall them if possible)?,success,True,True,14,7
Write and verify test,write_and_verify_test,68fee148-a42c-8321-9f07-e9bef23d9bbd,1761534282.160796,1761534508.720767,1761534395.4407816,This_is_normalized.1406.271025,part_2.json,2,18,5,"{
  ""filename"": ""WriteDrive_Full_Test.txt"",
  ""mimeType"": ""text/plain"",
  ""memory"": ""✅ Plain-text",o show a tiny automation example that pauses Drive before your script runs and reopens it when done?,success,True,True,12,5
Test Notion write/edit,test_notion_write_edit,68fed2e0-3e10-8321-afa9-a77cea9a164a,1761530593.503988,1761534272.802408,1761532433.153198,This_is_normalized.1333.271025,part_2.json,2,150,48,"Okay, we need to test the Notion update because I think you believe that you can write and there's a","s, that confirms all your parameters—text, base64, and JSON object—are flowing correctly end-to-end.",success,True,True,111,48
Drive for Desktop setup,drive_for_desktop_setup,68febeb7-2dcc-8320-8369-265283a8e6cb,1761525454.507066,1761526899.523293,1761526177.0151796,This_is_normalized.1149.271025,part_2.json,2,64,16,how can i make my drive for desktop link to my 2ndary gmail account we can use for backups without i,ex.json`) so you can keep a versioned record of this Drive layout for syncing or verification later?,success,True,True,43,16
System architecture report,system_architecture_report,68fd7f29-ea40-8321-8b24-f33a2910ab30,1761443826.599736,1761460266.74646,1761452046.673098,This_is_normalized.1514.261025,part_2.json,2,125,34,"Back already kappa , nah just wanted to request a report on total architecture and total map of syst","the **first interactive map**, say **“wrap it up: seed + map”** and I’ll do it in compression mode.",success,True,True,68,31
Name suggestion request,name_suggestion_request,68f83a73-c1b8-8324-9352-a5d2ff992108,1761098358.650226,1761460159.343149,1761279258.9966874,This_is_normalized.1514.241025,part_2.json,2,157,65,make the name cooler but keep the cool bit,"t or upload it again here. once it’s in this chat, I can parse or rebuild whatever you need from it.",success,True,True,135,65
Fix CoreLink folder lock,fix_corelink_folder_lock,68fdab8c-7d5c-8324-b4c4-5d2879b4c8da,1761455009.43914,1761460118.225118,1761457563.832129,This_is_normalized.1646.261025,part_2.json,2,182,58,CANT FIGURE out where my corelink folder is in use ?? cant copy must be some old task it got stuck i,"irection do you want me to try — broaden search under those aliases, or limit to local context only?",success,True,True,120,58
